n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
3,0,1.0852638725602461,38.46710716580507,0.5819776653405959,0.5710863492657354
1,0,1.2032023876397995,40.308786007653765,0.5816515437855636,0.5786643076287814
0,0,1.0317771379934633,39.14456009702967,0.6014596679620469,0.6114620475668502
4,0,1.4058234700698784,39.28257754444784,0.5836907036990355,0.5794566389088022
3,0,1.1873590112457266,40.1935998140013,0.584411634110658,0.573512762211063
3,0,1.3721113844580837,40.14516698854329,0.594469106783087,0.6049741361587342
4,0,1.2790631472925045,39.781674333834225,0.5934677249080438,0.5962032020141117
4,0,1.282291582651476,38.723011993084185,0.5939332740272999,0.583461001662988
2,0,1.2035882887137246,39.574624607902244,0.592468412898604,0.5983652744917156
3,0,1.2549677433093562,38.65627671962951,0.5817381383596911,0.5769800847067513
2,1,1.2222360015199472,38.99853871919204,0.5902067669143162,0.5931019797149435
2,0,1.1070919079999948,38.16601438568541,0.5724271493586908,0.5611464274486591
2,0,1.16375851736449,38.45905231205887,0.5921748361874264,0.5943264728875914
1,0,1.0995099873356644,38.6253314723575,0.5922691588450569,0.5946743602790794
5,0,1.2790006750126306,41.15706445479689,0.5747356914173729,0.5592043365694532
3,0,1.2593918487017688,38.80111900035528,0.5956224103335126,0.5975359855554798
2,0,1.11209213446443,40.02671280309518,0.6011657362738073,0.609553991894146
1,0,1.0932050025601936,39.415675366511124,0.5893483379896858,0.5886869913833268
7,0,1.5512644705454748,41.44372806252436,0.5758534351036986,0.5631065230723371
3,0,1.1193256597950325,39.67455997836045,0.5905868886696768,0.58759312513023
0,0,1.13632937072644,39.34259729379254,0.5692076746104806,0.5456082368963566
1,0,1.2427903330338392,41.145902604810466,0.5956392290280349,0.6035240637501078
1,0,1.0646544616251816,40.647386367242056,0.5865402903087064,0.5895447240977447
3,0,1.2000885345837595,39.71144851439623,0.588685169549526,0.5832052366993943
2,0,1.1255035135733948,40.06035823232641,0.5831845214167488,0.5648638802370037
1,0,1.11057700549234,39.73626495030982,0.5762093902809899,0.5618161830008588
3,0,1.0585705559733196,40.456296271193935,0.591489821267617,0.599331421680197
0,0,1.1125789990488413,40.62972895813374,0.5817183908765794,0.5753467630541027
1,1,1.2512879796375225,39.56447521832427,0.6028586073359077,0.6160285125325544
5,2,1.349163284824741,40.155813009647055,0.5780467497428043,0.5687480952896211
2,0,1.3275402013158402,40.53241353133519,0.6002442086065229,0.5996696090623586
2,0,1.1909339229137479,40.580652840931755,0.5882379806335873,0.5939070930082391
1,0,1.1954948036491282,39.68154402164408,0.5841182564389662,0.5788613078949273
2,0,1.291644107705943,39.04681237009352,0.6004629373280199,0.6095371831940763
3,0,1.389853379369136,38.49908782821498,0.6030030594443306,0.6112829367949326
1,0,1.0602769744856846,39.68561026562533,0.5925861185102962,0.595742508837132
1,0,1.1787837182704182,37.933576976158214,0.58028227846855,0.5704881845665271
4,0,1.272308824994961,39.99374918517433,0.5928587677829369,0.5936315637057206
3,2,1.3951584228730034,39.33499593580232,0.5666259671781406,0.5302598706911024
1,0,1.230248569239974,38.02896521235852,0.600054662417207,0.6059010839437388
1,0,1.1980419750992812,39.774217004158665,0.5783767778244765,0.5656482624682155
3,0,1.2459133055301133,39.842033433447575,0.5953141532359261,0.6020846248288794
3,0,1.147999696781371,40.04590901482599,0.5877066728804504,0.5778988823905515
3,0,1.2205586988682369,40.7336662796533,0.5910824976521838,0.5915714155253986
